l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[0.5575770735740662, 0.2880937159061432, -0.13680575788021088]","[0.44093605875968933, 0.2626441419124603, -0.13212569057941437]","[0.5665343403816223, 0.4476701617240906, -0.06807014346122742]","[0.40839117765426636, 0.38789471983909607, -0.2155895233154297]","[0.5655812621116638, 0.593004584312439, -0.13719268143177032]","[0.4364605247974396, 0.435735821723938, -0.44207751750946045]","[0.5215340256690979, 0.5903757214546204, 0.001130488351918757]","[0.4559287130832672, 0.5822773575782776, -0.0010915204184129834]"
"[0.557138979434967, 0.28759998083114624, -0.12088406085968018]","[0.4412546753883362, 0.26171383261680603, -0.12908302247524261]","[0.5664122104644775, 0.44605445861816406, -0.05822089686989784]","[0.41385525465011597, 0.38738372921943665, -0.2216612845659256]","[0.5655891299247742, 0.5926178693771362, -0.12578722834587097]","[0.4434971511363983, 0.42748621106147766, -0.44917935132980347]","[0.5210588574409485, 0.5900384187698364, 0.0027393638156354427]","[0.45593640208244324, 0.5820661187171936, -0.002684551291167736]"
"[0.5569320321083069, 0.287288099527359, -0.12128682434558868]","[0.4420579969882965, 0.25986939668655396, -0.12767775356769562]","[0.5662530660629272, 0.44505879282951355, -0.0619526244699955]","[0.41640347242355347, 0.3867688477039337, -0.2281884402036667]","[0.5655287504196167, 0.592718243598938, -0.1290549635887146]","[0.45162877440452576, 0.4212663173675537, -0.4551335871219635]","[0.5205909013748169, 0.5898457765579224, 0.0025280476547777653]","[0.4559427499771118, 0.581981897354126, -0.0024788235314190388]"
"[0.5568816065788269, 0.28714314103126526, -0.11901026219129562]","[0.4431048035621643, 0.25897863507270813, -0.12720368802547455]","[0.5662117600440979, 0.44469255208969116, -0.06279067695140839]","[0.4183814227581024, 0.3858543038368225, -0.23913653194904327]","[0.5655220746994019, 0.5931451320648193, -0.12633365392684937]","[0.45800551772117615, 0.4142181873321533, -0.46491673588752747]","[0.5203237533569336, 0.5898394584655762, 0.002734150504693389]","[0.4559520184993744, 0.5820237994194031, -0.002691886620596051]"
"[0.5568399429321289, 0.2870621383190155, -0.11695453524589539]","[0.44416144490242004, 0.2580653131008148, -0.12696923315525055]","[0.5662145018577576, 0.4446658194065094, -0.06367576867341995]","[0.4203457534313202, 0.38468867540359497, -0.2490917593240738]","[0.5654959082603455, 0.5943078398704529, -0.12330169975757599]","[0.4615990221500397, 0.4074707329273224, -0.4769171476364136]","[0.5200798511505127, 0.5898707509040833, 0.0030935925897210836]","[0.45598891377449036, 0.5825328826904297, -0.0030648144893348217]"
"[0.5567802786827087, 0.28703558444976807, -0.11418936401605606]","[0.44464242458343506, 0.2575829029083252, -0.12763427197933197]","[0.5663772821426392, 0.44468483328819275, -0.06454234570264816]","[0.421831876039505, 0.3822895884513855, -0.26257041096687317]","[0.5654852986335754, 0.5953202247619629, -0.12110919505357742]","[0.46616682410240173, 0.3994915783405304, -0.4889383316040039]","[0.5200435519218445, 0.5900131464004517, 0.003322493750602007]","[0.45612722635269165, 0.5830878019332886, -0.0032931945752352476]"
"[0.5567597150802612, 0.28658580780029297, -0.10770972818136215]","[0.4451431930065155, 0.256833016872406, -0.1262727677822113]","[0.5666454434394836, 0.4447000324726105, -0.0618494413793087]","[0.42390963435173035, 0.38149410486221313, -0.2630588710308075]","[0.5654842853546143, 0.5963150858879089, -0.11239410936832428]","[0.47027388215065, 0.3903219401836395, -0.4888664484024048]","[0.52006596326828, 0.5900816321372986, 0.0032516405917704105]","[0.45653870701789856, 0.5836657285690308, -0.003218899480998516]"
"[0.5567124485969543, 0.2860347628593445, -0.11000096052885056]","[0.4455333948135376, 0.2555236220359802, -0.12703464925289154]","[0.5668283700942993, 0.44475075602531433, -0.06209176778793335]","[0.42452338337898254, 0.38139697909355164, -0.2700263261795044]","[0.5654976963996887, 0.5969957113265991, -0.11526716500520706]","[0.47428831458091736, 0.38456040620803833, -0.4942224323749542]","[0.5202902555465698, 0.5900675058364868, 0.0031405561603605747]","[0.4570651948451996, 0.5839017629623413, -0.0031068213284015656]"
"[0.5565856099128723, 0.28583672642707825, -0.10488496720790863]","[0.4458625912666321, 0.2546934485435486, -0.12580379843711853]","[0.5669832825660706, 0.4447721242904663, -0.06007551774382591]","[0.42537274956703186, 0.3807581067085266, -0.2696685791015625]","[0.5654980540275574, 0.5974757075309753, -0.10847402364015579]","[0.4777344763278961, 0.3804989457130432, -0.49094000458717346]","[0.5204618573188782, 0.5900372266769409, 0.0030771715100854635]","[0.4575459063053131, 0.5840784907341003, -0.0030424303840845823]"
"[0.5565692186355591, 0.2857821583747864, -0.09229651838541031]","[0.44624000787734985, 0.2535676658153534, -0.11534210294485092]","[0.5671973824501038, 0.44479289650917053, -0.05032893270254135]","[0.4261985421180725, 0.3774656653404236, -0.26474133133888245]","[0.5654858350753784, 0.5979204773902893, -0.09451913833618164]","[0.47994378209114075, 0.3756892681121826, -0.48536282777786255]","[0.5206252932548523, 0.589983344078064, 0.003113370155915618]","[0.4577085077762604, 0.5840942859649658, -0.003074711887165904]"
"[0.5565659999847412, 0.2857559323310852, -0.0955493226647377]","[0.44645455479621887, 0.25259530544281006, -0.11437012255191803]","[0.5671979188919067, 0.44491246342658997, -0.05242446810007095]","[0.42666539549827576, 0.37694573402404785, -0.26512259244918823]","[0.5653216242790222, 0.5982044339179993, -0.09842321276664734]","[0.48040571808815, 0.3707002103328705, -0.49093008041381836]","[0.5206849575042725, 0.5899410247802734, 0.003081276547163725]","[0.45770978927612305, 0.5841019749641418, -0.0030400636605918407]"
"[0.5567322969436646, 0.2856401205062866, -0.09454531967639923]","[0.4466071128845215, 0.25124216079711914, -0.11030732840299606]","[0.567193329334259, 0.4449746310710907, -0.050997111946344376]","[0.42762964963912964, 0.3767782747745514, -0.2622379660606384]","[0.5650959610939026, 0.5981969237327576, -0.09265894442796707]","[0.483630508184433, 0.36148157715797424, -0.48803386092185974]","[0.5207454562187195, 0.5898362994194031, 0.0030489186756312847]","[0.4576825201511383, 0.5840962529182434, -0.0030078503768891096]"
