l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1116.53662109375, 624.391357421875]","[929.6654663085938, 565.9832763671875]","[1150.2838134765625, 766.8192138671875]","[826.0350952148438, 483.36688232421875]","[1149.8392333984375, 915.3781127929688]","[734.0928955078125, 370.95654296875]","[1073.0042724609375, 915.5245971679688]","[953.0098876953125, 900.2227783203125]"
"[1115.555908203125, 622.9321899414062]","[929.0150756835938, 564.634765625]","[1149.736572265625, 766.9432983398438]","[816.60498046875, 483.6697082519531]","[1149.673583984375, 916.191650390625]","[728.439208984375, 374.8651123046875]","[1069.42919921875, 914.951416015625]","[951.0800170898438, 897.5830078125]"
"[1115.829833984375, 622.93212890625]","[928.726318359375, 566.3309326171875]","[1149.928466796875, 766.54736328125]","[814.3482055664062, 490.0679626464844]","[1150.2666015625, 916.1845092773438]","[720.3829345703125, 382.2166442871094]","[1069.675048828125, 913.7924194335938]","[951.156494140625, 896.8868408203125]"
"[1117.056396484375, 620.2498168945312]","[931.134765625, 566.2630615234375]","[1151.611328125, 759.5073852539062]","[807.9932861328125, 497.15643310546875]","[1149.556884765625, 911.8406982421875]","[707.557373046875, 388.96905517578125]","[1069.165771484375, 909.54931640625]","[951.6312255859375, 891.6491088867188]"
"[1117.494873046875, 616.7551879882812]","[931.4637451171875, 569.97998046875]","[1154.328857421875, 754.7894897460938]","[804.796142578125, 503.61895751953125]","[1147.6925048828125, 911.241455078125]","[698.1461181640625, 400.55059814453125]","[1073.3779296875, 918.81005859375]","[954.2410888671875, 899.6969604492188]"
"[1118.028564453125, 619.1351318359375]","[930.4669189453125, 566.871826171875]","[1152.7601318359375, 757.9114990234375]","[795.3878173828125, 505.0707092285156]","[1151.505859375, 912.537109375]","[687.6729125976562, 409.521240234375]","[1070.665283203125, 909.985107421875]","[952.5830078125, 892.8892822265625]"
"[1117.6632080078125, 615.5517578125]","[930.6339111328125, 571.1944580078125]","[1155.469970703125, 753.5357666015625]","[795.4714965820312, 511.9366149902344]","[1149.854736328125, 911.1968994140625]","[683.0362548828125, 422.96453857421875]","[1075.06884765625, 921.3919677734375]","[955.2387084960938, 903.06005859375]"
"[1118.2353515625, 618.233642578125]","[929.131103515625, 568.2561645507812]","[1154.095458984375, 757.353271484375]","[789.9735717773438, 516.3784790039062]","[1153.2802734375, 911.7506103515625]","[674.6127319335938, 428.6012878417969]","[1070.819580078125, 910.6844482421875]","[951.706298828125, 894.4373779296875]"
"[1118.1171875, 618.4141235351562]","[929.0440673828125, 568.2886352539062]","[1154.255126953125, 757.7940673828125]","[790.1537475585938, 516.5597534179688]","[1153.124755859375, 911.7328491210938]","[674.586181640625, 429.0334167480469]","[1070.92529296875, 910.732177734375]","[951.8131713867188, 894.4464111328125]"
"[1118.8321533203125, 619.93408203125]","[925.4119262695312, 571.6136474609375]","[1154.385498046875, 762.8704833984375]","[793.1732177734375, 528.05419921875]","[1157.1173095703125, 914.9456176757812]","[672.3566284179688, 451.5066833496094]","[1074.1668701171875, 916.2540283203125]","[952.3701171875, 902.3560180664062]"
