l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1052.3427734375, 299.54791259765625]","[858.989501953125, 281.35546875]","[1089.649658203125, 443.0061950683594]","[745.347900390625, 347.8338317871094]","[1090.278076171875, 583.6631469726562]","[620.5042724609375, 391.31317138671875]","[1005.918701171875, 580.947265625]","[893.2430419921875, 572.9920654296875]"
"[1051.53955078125, 298.15826416015625]","[858.3495483398438, 280.785400390625]","[1092.041015625, 439.8221435546875]","[741.5651245117188, 352.3851318359375]","[1089.0765380859375, 583.1219482421875]","[623.1519775390625, 397.3216552734375]","[1004.5093994140625, 584.5732421875]","[892.0252685546875, 576.2021484375]"
"[1051.53369140625, 298.783203125]","[857.3228759765625, 282.8490295410156]","[1089.307373046875, 443.1226806640625]","[746.0267944335938, 356.7810974121094]","[1090.8564453125, 582.3948364257812]","[625.570068359375, 406.44140625]","[1006.272705078125, 580.666259765625]","[892.9978637695312, 573.3446044921875]"
"[1051.458251953125, 298.35552978515625]","[856.6115112304688, 283.0745849609375]","[1088.841796875, 442.98187255859375]","[747.5098266601562, 360.30120849609375]","[1090.8948974609375, 581.7630004882812]","[626.760009765625, 412.5560302734375]","[1006.29638671875, 580.5323486328125]","[892.5526123046875, 573.1448974609375]"
"[1051.2008056640625, 297.93475341796875]","[855.8816528320312, 283.3726501464844]","[1088.55859375, 443.977783203125]","[747.8507080078125, 364.2005615234375]","[1090.9354248046875, 582.0640258789062]","[627.7168579101562, 419.64202880859375]","[1006.5626220703125, 580.1599731445312]","[892.5203247070312, 572.9891357421875]"
"[1050.82421875, 297.6214599609375]","[855.4254150390625, 283.84393310546875]","[1088.2047119140625, 443.5868225097656]","[749.568359375, 367.4970703125]","[1090.2730712890625, 581.7846069335938]","[633.0267333984375, 426.3514709472656]","[1006.345703125, 580.225830078125]","[892.227783203125, 573.3513793945312]"
"[1049.68115234375, 297.96484375]","[854.6695556640625, 285.1690368652344]","[1087.414794921875, 442.3900451660156]","[751.7315673828125, 370.71063232421875]","[1089.021728515625, 581.6229248046875]","[635.5968627929688, 433.1089782714844]","[1005.9361572265625, 579.9700927734375]","[891.9475708007812, 573.2932739257812]"
"[1049.7734375, 297.76007080078125]","[855.1246337890625, 285.6431884765625]","[1086.811279296875, 443.7396240234375]","[752.7349853515625, 374.58587646484375]","[1087.26953125, 581.7943115234375]","[637.3931884765625, 439.8153991699219]","[1005.5447998046875, 579.6560668945312]","[891.7955932617188, 573.15869140625]"
"[1051.474365234375, 297.40350341796875]","[857.7601318359375, 287.59393310546875]","[1087.2462158203125, 446.1158447265625]","[755.4483642578125, 377.394775390625]","[1086.257080078125, 581.8035888671875]","[645.3246459960938, 443.5931396484375]","[1004.29296875, 584.1007080078125]","[892.1597900390625, 578.20703125]"
"[1050.97021484375, 296.75384521484375]","[857.0579223632812, 288.0225830078125]","[1086.1568603515625, 445.3927917480469]","[757.4405517578125, 382.7816162109375]","[1085.64990234375, 581.29150390625]","[647.87451171875, 452.9024963378906]","[1003.6944580078125, 584.712646484375]","[891.28173828125, 579.1138916015625]"
"[1050.4713134765625, 296.27386474609375]","[856.4378662109375, 287.91326904296875]","[1085.571533203125, 446.5434265136719]","[764.5643310546875, 389.20928955078125]","[1081.3868408203125, 581.0015258789062]","[662.8341064453125, 471.89556884765625]","[1002.9375, 584.6802978515625]","[890.097900390625, 579.1204833984375]"
"[1049.754150390625, 295.7835998535156]","[856.2891845703125, 288.57330322265625]","[1084.88427734375, 445.253173828125]","[768.693603515625, 392.52923583984375]","[1080.535400390625, 580.7926635742188]","[670.1376953125, 477.6009521484375]","[1002.6461791992188, 584.698974609375]","[889.9739990234375, 579.520751953125]"
"[1049.2724609375, 295.5625915527344]","[856.3343505859375, 288.73101806640625]","[1084.025390625, 445.4698486328125]","[773.1051635742188, 396.920166015625]","[1079.1484375, 579.630615234375]","[678.4555053710938, 488.4515075683594]","[1002.2074584960938, 584.456787109375]","[889.6116943359375, 579.2842407226562]"
"[1048.4923095703125, 294.9808349609375]","[855.9270629882812, 289.2778625488281]","[1082.8355712890625, 445.11114501953125]","[775.1779174804688, 402.2471008300781]","[1077.796630859375, 580.2046508789062]","[684.2066650390625, 497.09368896484375]","[1001.698486328125, 583.1541137695312]","[889.2515258789062, 578.3098754882812]"
"[1047.975830078125, 294.43359375]","[855.0966796875, 290.1493225097656]","[1081.562744140625, 444.4757995605469]","[778.3857421875, 408.1387023925781]","[1076.5911865234375, 580.5654907226562]","[690.362060546875, 506.3147277832031]","[1001.108154296875, 583.2764892578125]","[888.20458984375, 578.762939453125]"
"[1047.553466796875, 294.2314758300781]","[853.7993774414062, 290.06201171875]","[1079.9776611328125, 445.68035888671875]","[780.6524047851562, 411.0963134765625]","[1074.1695556640625, 582.4642333984375]","[696.19189453125, 513.73486328125]","[1000.5942993164062, 583.1480712890625]","[886.77685546875, 578.506103515625]"
"[1047.39599609375, 294.00537109375]","[852.3026123046875, 290.66033935546875]","[1078.0640869140625, 445.30499267578125]","[781.47900390625, 415.66656494140625]","[1073.74169921875, 581.4448852539062]","[702.2212524414062, 521.2225341796875]","[1000.852294921875, 582.1011962890625]","[885.9576416015625, 578.0013427734375]"
"[1048.0174560546875, 294.2182922363281]","[850.4313354492188, 291.5160827636719]","[1077.9063720703125, 448.5114440917969]","[784.3973388671875, 421.737548828125]","[1074.316650390625, 583.2298583984375]","[708.1829833984375, 525.551513671875]","[1000.379150390625, 581.7376708984375]","[882.8468017578125, 578.08154296875]"
"[1049.4078369140625, 294.4138488769531]","[851.5889282226562, 292.7169494628906]","[1072.0718994140625, 451.18841552734375]","[793.5870361328125, 423.7799072265625]","[1064.5106201171875, 588.685546875]","[713.0982666015625, 531.1058349609375]","[1005.65673828125, 587.465576171875]","[883.3331298828125, 585.1463012695312]"
"[1048.65234375, 295.9700927734375]","[850.2950439453125, 292.940185546875]","[1071.0977783203125, 452.7135314941406]","[795.564697265625, 423.84625244140625]","[1062.23876953125, 588.900390625]","[718.9647216796875, 538.1396484375]","[1005.7399291992188, 588.2990112304688]","[882.7620849609375, 585.72705078125]"
